City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Bossangoa,CF,72.54,light rain,6.4926,17.4552,LA PERLE DE BOSTON
117,Isangel,VU,83.82,few clouds,-19.55,169.2667,Tanna Lodge
118,Puerto Carreno,CO,84.49,broken clouds,6.189,-67.4859,Casa Hotel Victoria
119,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
120,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
121,Puerto Ayora,EC,76.89,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
125,Bouloupari,NC,85.91,scattered clouds,-21.8667,166.05,Oua-Ya Lodge
126,Boyolangu,ID,80.85,clear sky,-8.1181,111.8935,Yos ega cv
127,Cabo San Lucas,MX,78.1,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
129,Todos Santos,MX,68.45,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
130,Caravelas,BR,76.12,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
131,Mackay,AU,84.69,overcast clouds,-21.15,149.2,International Lodge Motel
132,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
133,Marsh Harbour,BS,75.18,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
134,Comodoro Rivadavia,AR,62.46,clear sky,-45.8667,-67.5,Austral Hotel
135,Hithadhoo,MV,83.75,overcast clouds,-0.6,73.0833,Scoop Guest House
136,Lorengau,PG,85.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
137,Ghanzi,BW,69.46,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
140,Kyaikkami,MM,83.16,few clouds,16.08,97.5675,St. joseph catholic church
143,Cape Coast,GH,79.93,overcast clouds,5.1053,-1.2466,Samrit Hotel
146,Porto Belo,BR,73.35,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
147,Vao,NC,75.88,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
149,Vohibinany,MG,69.66,scattered clouds,-17.35,49.0333,
151,Freeport,US,64.38,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
152,Ballina,AU,71.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
153,Languyan,PH,82.63,overcast clouds,5.2618,120.0807,
154,Bud,US,61.68,heavy intensity rain,39.447,-86.1758,Ted McQuinn Trust
156,Goderich,CA,61.12,overcast clouds,43.7501,-81.7165,Harmony Inn
158,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
161,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
163,Kourou,GF,81.1,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
164,Ahipara,NZ,66.9,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
165,Pisco,PE,66.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
169,Jijiga,ET,67.51,light rain,9.35,42.8,RAMAAS HOTEL
170,Am Timan,TD,85.93,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
171,Beroroha,MG,72.72,clear sky,-21.6667,45.1667,
177,Kingsland,US,73.02,overcast clouds,30.8,-81.6898,Microtel Inn & Suites by Wyndham Kingsland
178,Monze,ZM,63.57,overcast clouds,-16.2833,27.4833,Fay terry lodge
180,Harlingen,US,88.05,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
183,San Antonio,US,87.06,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
184,Rodrigues Alves,BR,73.36,overcast clouds,-7.738,-72.6509,Pousada Aconchego
185,Saint-Pierre,RE,73.29,few clouds,-21.3393,55.4781,Lindsey Hôtel
186,Caucaia,BR,82.35,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
187,Xixiang,CN,60.35,overcast clouds,35.1628,112.865,Hongchang Rest House
188,Coahuayana,MX,76.12,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
189,Morehead,US,62.35,heavy intensity rain,37.2711,-87.1764,CCI Express Inn
190,Sainte-Suzanne,RE,75.38,light rain,-20.9061,55.6089,Gites Ango
193,Cidreira,BR,68.14,overcast clouds,-30.1811,-50.2056,Hotel Castelo
194,Turbat,PK,82.62,overcast clouds,26.0023,63.044,Mubashar Quarters
195,Grand-Lahou,CI,80.65,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
196,Pathein,MM,85.12,few clouds,16.7833,94.7333,Pathein Hotel
200,Monywa,MM,87.3,few clouds,22.1167,95.1333,Monywa Hotel
201,Faanui,PF,81.41,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
202,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
205,Mocuba,MZ,70.54,few clouds,-16.8392,36.9856,Phama Lodge
209,Gigmoto,PH,83.3,broken clouds,13.7796,124.39,Cj's Travellers Inn
210,Yulara,AU,87.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
216,Los Zacatones,MX,74.08,overcast clouds,22.95,-102.05,
217,Playa Del Carmen,MX,80.62,broken clouds,20.6274,-87.0799,Hotel Kinbe
218,Alta Floresta,BR,74.26,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
219,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
222,Quelimane,MZ,78.75,clear sky,-17.8786,36.8883,Hotel Flamingo
225,Victoria,HK,79.03,clear sky,22.2855,114.1577,Mini Hotel Central
227,San Patricio,US,86.72,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
230,Eirunepe,BR,74.86,overcast clouds,-6.6603,-69.8736,Atrás de você
232,Asosa,ET,66.67,light rain,10.0667,34.5333,Blendana Hotel Assosa
235,Kasongo-Lunda,CD,69.87,overcast clouds,-6.4667,16.8167,
236,Odweyne,SO,76.32,light rain,9.4092,45.064,Eng Hiirey House
239,Rawson,AR,61.12,clear sky,-43.3002,-65.1023,Hosteria Sampedro
242,Hambantota,LK,79.63,overcast clouds,6.1241,81.1185,Bungalow 63
243,Phuket,TH,87.1,few clouds,8.0,98.25,The Surin
246,Banjar,ID,84.36,clear sky,-8.19,114.9675,The Hamsa Resort
247,Port Lincoln,AU,66.54,moderate rain,-34.7333,135.8667,Port Lincoln Hotel
251,Sungaipenuh,ID,69.26,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
252,Moerai,PF,80.71,light rain,-22.4333,-151.3333,Le Manotel
253,Kikwit,CD,72.79,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
254,Beira,MZ,75.0,light rain,-19.8436,34.8389,Beira Terrace Hotel
256,Iralaya,HN,78.96,clear sky,15.0,-83.2333,Iglesia morava renovada
257,Nioro,GM,76.57,overcast clouds,13.35,-15.75,
260,Praia Da Vitoria,PT,61.05,few clouds,38.7333,-27.0667,Hotel Branco I
264,Vila Do Maio,CV,69.84,few clouds,15.1333,-23.2167,Hotel Marilu
265,Grand Haven,US,61.47,overcast clouds,43.0631,-86.2284,"Holiday Inn Grand Haven-Spring Lake, an IHG Hotel"
266,Mount Gambier,AU,67.5,overcast clouds,-37.8333,140.7667,The Commodore
267,Potam,MX,74.79,broken clouds,27.6,-110.3833,Ejido La Pimienta
269,Vero Beach,US,77.04,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
271,Sao Mateus Do Maranhao,BR,73.76,overcast clouds,-4.0417,-44.475,Pousada Pingo De Ouro
272,Khash,IR,63.23,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
275,Agadez,NE,81.5,overcast clouds,19.75,10.25,
