City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.68,89,100,6.76,heavy intensity rain
80,Cape Town,ZA,-33.9258,18.4232,63.91,85,100,11.99,overcast clouds
81,Vaini,TO,-21.2,-175.2,80.42,77,4,12.1,clear sky
82,Sept-Iles,CA,50.2001,-66.3821,30.13,95,37,4.88,scattered clouds
83,Tyrma,RU,50.0833,132.1667,32.32,73,100,9.13,light snow
84,Mareeba,AU,-17.0,145.4333,80.65,79,100,7.78,overcast clouds
85,Paamiut,GL,61.994,-49.6678,27.52,90,100,20.89,overcast clouds
86,Kodiak,US,57.79,-152.4072,45.91,46,0,13.8,clear sky
87,Dikson,RU,73.5069,80.5464,19.51,96,100,9.19,overcast clouds
88,New Norfolk,AU,-42.7826,147.0587,64.89,49,100,3.6,overcast clouds
89,Chuy,UY,-33.6971,-53.4616,54.99,72,0,7.85,clear sky
90,Mayo,US,38.8876,-76.5119,80.76,65,0,6.91,clear sky
91,Dudinka,RU,69.4058,86.1778,29.62,96,100,11.16,overcast clouds
92,Jaicos,BR,-7.3592,-41.1378,78.6,65,87,5.44,overcast clouds
93,Pontianak,ID,-0.0333,109.3333,78.78,88,20,3.44,few clouds
94,Mwinilunga,ZM,-11.7358,24.4293,64.11,91,100,3.53,overcast clouds
95,Ribeira Grande,PT,38.5167,-28.7,59.52,59,0,14.16,clear sky
96,Hobart,AU,-42.8794,147.3294,65.23,61,0,6.91,clear sky
97,Mar Del Plata,AR,-38.0023,-57.5575,57.87,83,0,5.99,clear sky
98,Saldanha,ZA,-33.0117,17.9442,62.02,89,100,19.77,overcast clouds
99,Kavieng,PG,-2.5744,150.7967,85.62,68,63,11.5,broken clouds
100,Polis,CY,35.0367,32.4264,49.82,56,0,6.44,clear sky
101,Puerto Ayacucho,VE,5.6639,-67.6236,79.05,76,56,6.38,broken clouds
102,Pasni,PK,25.2631,63.471,80.31,61,5,8.63,clear sky
103,Salina,US,38.8403,-97.6114,48.33,36,0,9.22,clear sky
104,Leh,IN,34.1667,77.5833,31.59,82,81,3.42,broken clouds
105,Tiksi,RU,71.6872,128.8694,-0.81,96,100,6.44,overcast clouds
106,Merauke,ID,-8.4667,140.3333,85.96,69,82,2.17,broken clouds
107,Bubaque,GW,11.2833,-15.8333,75.15,74,99,18.61,overcast clouds
108,Nouadhibou,MR,20.931,-17.0347,63.84,84,0,22.3,clear sky
109,Gat,IL,31.61,34.7642,55.4,71,0,4.97,clear sky
110,Guantanamo,CU,20.1444,-75.2092,81.46,78,38,5.46,scattered clouds
111,Adrar,MR,20.5022,-10.0711,71.51,25,0,10.13,clear sky
112,Codrington,AU,-38.2667,141.9667,71.62,36,100,11.21,overcast clouds
113,Akyab,MM,20.15,92.9,82.8,74,28,6.22,scattered clouds
114,Bossangoa,CF,6.4926,17.4552,72.54,90,49,3.67,light rain
115,Tateyama,JP,34.9833,139.8667,58.1,83,100,17.63,overcast clouds
116,Saskylakh,RU,71.9167,114.0833,1.06,95,100,9.95,overcast clouds
117,Isangel,VU,-19.55,169.2667,83.82,71,13,5.73,few clouds
118,Puerto Carreno,CO,6.189,-67.4859,84.49,60,70,7.85,broken clouds
119,Bambous Virieux,MU,-20.3428,57.7575,78.22,88,75,14.97,light rain
120,Carnarvon,AU,-24.8667,113.6333,77.07,50,0,18.41,clear sky
121,Puerto Ayora,EC,-0.7393,-90.3518,76.89,88,99,6.82,overcast clouds
