City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
62,Mashhad,IR,2022-41-04/08/22 22:41:44,36.297,59.6062,59.14,55,82,0.0
63,Bluff,NZ,2022-41-04/08/22 22:41:44,-46.6,168.3333,56.95,70,81,18.32
64,Chuy,UY,2022-41-04/08/22 22:41:45,-33.6971,-53.4616,64.69,92,6,6.24
65,Taltal,CL,2022-41-04/08/22 22:41:45,-25.4,-70.4833,65.53,73,23,6.82
66,Thompson,CA,2022-41-04/08/22 22:41:45,55.7435,-97.8558,44.76,26,40,8.05
67,Matara,LK,2022-41-04/08/22 22:41:46,5.9485,80.5353,76.66,88,98,6.24
68,Bereznik,RU,2022-41-04/08/22 22:41:46,62.8551,42.7072,35.46,98,100,10.94
69,Mulchen,CL,2022-41-04/08/22 22:41:46,-37.7167,-72.2333,71.46,58,52,3.44
70,Ilebo,CD,2022-41-04/08/22 22:41:47,-4.3167,20.5833,70.72,99,97,4.41
71,Nanortalik,GL,2022-41-04/08/22 22:41:47,60.1432,-45.2371,27.73,88,40,7.94
72,Hervey Bay,AU,2022-39-04/08/22 22:39:05,-25.2986,152.8535,73.02,96,82,8.99
73,Vila Velha,BR,2022-41-04/08/22 22:41:47,-20.3297,-40.2925,80.55,76,75,5.75
74,Sao Gabriel Da Cachoeira,BR,2022-41-04/08/22 22:41:48,-0.1303,-67.0892,75.04,95,97,1.74
75,Mananjary,MG,2022-41-04/08/22 22:41:48,-21.2167,48.3333,75.34,76,51,3.36
76,Faanui,PF,2022-41-04/08/22 22:41:48,-16.4833,-151.75,81.97,74,100,17.54
77,Saskylakh,RU,2022-41-04/08/22 22:41:49,71.9167,114.0833,-10.01,100,100,3.4
78,Saint-Philippe,RE,2022-41-04/08/22 22:41:49,-21.3585,55.7679,76.59,86,72,11.39
79,Magadan,RU,2022-41-04/08/22 22:41:49,59.5667,150.8,22.53,87,82,2.04
80,Port Alfred,ZA,2022-37-04/08/22 22:37:39,-33.5906,26.891,57.18,93,99,10.09
81,Esperance,AU,2022-41-04/08/22 22:41:50,-33.8667,121.9,60.64,73,98,25.81
82,Urumqi,CN,2022-41-04/08/22 22:41:50,43.801,87.6005,56.35,55,0,8.95
83,Leshukonskoye,RU,2022-41-04/08/22 22:41:51,64.8989,45.7622,34.52,91,100,11.05
84,Kapaa,US,2022-41-04/08/22 22:41:51,22.0752,-159.319,80.58,75,40,19.57
85,Kibala,TD,2022-41-04/08/22 22:41:51,9.1104,18.3463,82.35,61,0,0.0
86,Alor Gajah,MY,2022-41-04/08/22 22:41:52,2.3804,102.2089,75.02,94,40,3.44
87,Casablanca,MA,2022-41-04/08/22 22:41:52,33.5928,-7.6192,59.22,87,73,9.01
88,San Andres,CO,2022-41-04/08/22 22:41:53,12.5847,-81.7006,84.22,70,40,14.97
89,Chokurdakh,RU,2022-41-04/08/22 22:41:53,70.6333,147.9167,-13.45,94,59,9.26
90,Butaritari,KI,2022-41-04/08/22 22:41:53,3.0707,172.7902,80.62,81,100,12.82
91,Hilo,US,2022-38-04/08/22 22:38:43,19.7297,-155.09,73.26,78,100,5.75
92,San Patricio,US,2022-41-04/08/22 22:41:54,28.017,-97.5169,82.54,17,0,4.94
93,Cayenne,GF,2022-42-04/08/22 22:42:54,4.9333,-52.3333,82.09,1,75,8.05
94,Hay River,CA,2022-42-04/08/22 22:42:54,60.8156,-115.7999,33.78,93,100,11.5
95,Gari,RU,2022-42-04/08/22 22:42:55,59.4307,62.3497,26.19,96,90,3.38
96,Talnakh,RU,2022-42-04/08/22 22:42:55,69.4865,88.3972,-0.8,98,100,4.03
97,Wanning,CN,2022-42-04/08/22 22:42:56,18.8003,110.3967,65.55,82,81,5.99
98,Cabo San Lucas,MX,2022-38-04/08/22 22:38:08,22.8909,-109.9124,88.61,39,20,9.22
99,Ust-Tsilma,RU,2022-42-04/08/22 22:42:56,65.441,52.1498,15.28,95,17,5.84
100,Bredasdorp,ZA,2022-42-04/08/22 22:42:56,-34.5322,20.0403,58.93,70,36,15.46
101,Richards Bay,ZA,2022-42-04/08/22 22:42:57,-28.783,32.0377,64.74,90,100,2.15
102,Lebu,CL,2022-42-04/08/22 22:42:57,-37.6167,-73.65,55.15,84,34,8.7
103,Severomorsk,RU,2022-42-04/08/22 22:42:57,69.0689,33.4162,30.6,90,100,24.23
104,Bambous Virieux,MU,2022-42-04/08/22 22:42:58,-20.3428,57.7575,75.45,94,75,6.91
105,Ilulissat,GL,2022-42-04/08/22 22:42:58,69.2167,-51.1,15.82,79,75,0.0
106,Andradina,BR,2022-42-04/08/22 22:42:59,-20.8961,-51.3794,78.26,66,64,3.15
107,Portland,US,2022-39-04/08/22 22:39:07,45.5234,-122.6762,55.45,69,75,23.02
108,Rochegda,RU,2022-42-04/08/22 22:42:59,62.8,43.25,35.17,98,100,10.89
109,East London,ZA,2022-38-04/08/22 22:38:51,-33.0153,27.9116,62.24,78,100,7.81
110,Manicore,BR,2022-43-04/08/22 22:43:00,-5.8092,-61.3003,75.83,96,91,2.42
111,Bosaso,SO,2022-43-04/08/22 22:43:00,11.2842,49.1816,80.35,69,88,2.42
112,Teknaf,BD,2022-43-04/08/22 22:43:00,20.8624,92.3058,75.29,89,16,2.82
113,Yulara,AU,2022-43-04/08/22 22:43:01,-25.2406,130.9889,57.04,47,0,5.75
114,Tuktoyaktuk,CA,2022-43-04/08/22 22:43:01,69.4541,-133.0374,17.6,73,40,0.0
115,Bhadrapur,NP,2022-43-04/08/22 22:43:02,26.544,88.0944,73.42,70,3,12.3
116,Nome,US,2022-43-04/08/22 22:43:02,64.5011,-165.4064,13.15,85,100,11.5
117,Souillac,MU,2022-43-04/08/22 22:43:02,-20.5167,57.5167,75.58,94,75,6.91
118,Washington,US,2022-40-04/08/22 22:40:44,47.5001,-120.5015,54.77,41,3,16.53
119,Colares,PT,2022-43-04/08/22 22:43:03,38.7992,-9.4469,61.32,76,78,15.99
120,Oussouye,SN,2022-43-04/08/22 22:43:03,12.485,-16.5469,77.18,59,8,10.22
121,Carnarvon,AU,2022-43-04/08/22 22:43:04,-24.8667,113.6333,66.27,88,79,5.75
122,Santa Cruz,BO,2022-39-04/08/22 22:39:28,-17.8,-63.1667,84.25,70,75,12.66
123,Bangalore,IN,2022-40-04/08/22 22:40:17,12.9762,77.6033,73.22,78,62,6.67
124,Rio Grande,BR,2022-42-04/08/22 22:42:53,-32.035,-52.0986,66.31,82,0,10.76
125,Trowbridge,GB,2022-43-04/08/22 22:43:04,51.3189,-2.2086,41.52,84,100,5.91
126,Longyearbyen,SJ,2022-39-04/08/22 22:39:58,78.2186,15.6401,12.04,73,0,14.97
127,Burevestnik,RU,2022-43-04/08/22 22:43:05,56.144,43.7883,46.15,66,0,11.01
128,Pontes E Lacerda,BR,2022-43-04/08/22 22:43:05,-15.2261,-59.3353,79.3,77,35,3.96
129,Avera,US,2022-43-04/08/22 22:43:06,33.194,-82.5271,62.11,54,81,17.58
130,Arraial Do Cabo,BR,2022-41-04/08/22 22:41:24,-22.9661,-42.0278,76.86,83,0,13.8
131,Ponta Do Sol,PT,2022-43-04/08/22 22:43:06,32.6667,-17.1,60.71,71,56,1.48
132,Jamestown,US,2022-43-04/08/22 22:43:06,42.097,-79.2353,43.72,73,100,6.91
133,Leningradskiy,RU,2022-43-04/08/22 22:43:07,69.3833,178.4167,-5.98,77,89,3.76
134,Zhigansk,RU,2022-43-04/08/22 22:43:07,66.7697,123.3711,4.53,94,24,10.18
135,Victoria,HK,2022-40-04/08/22 22:40:40,22.2855,114.1577,70.32,78,0,15.01
136,Verkhoyansk,RU,2022-43-04/08/22 22:43:08,67.5447,133.385,10.24,94,100,2.19
137,Kodiak,US,2022-43-04/08/22 22:43:08,57.79,-152.4072,29.71,51,0,25.32
138,Pendleton,US,2022-41-04/08/22 22:41:52,45.6721,-118.7886,61.03,39,100,25.32
139,Sorland,NO,2022-43-04/08/22 22:43:09,67.667,12.6934,36.95,65,100,27.85
140,Sao Joao Da Barra,BR,2022-44-04/08/22 22:44:09,-21.6403,-41.0511,76.44,82,11,10.2
141,Amalapuram,IN,2022-44-04/08/22 22:44:10,16.5833,82.0167,76.42,94,81,2.68
142,Nikolayevsk-Na-Amure,RU,2022-44-04/08/22 22:44:10,53.1406,140.73,27.73,77,98,2.08
143,Kruisfontein,ZA,2022-44-04/08/22 22:44:10,-34.0033,24.7314,57.88,79,98,7.43
144,Coos Bay,US,2022-39-04/08/22 22:39:14,43.3665,-124.2179,57.31,80,100,12.66
145,Mahebourg,MU,2022-44-04/08/22 22:44:11,-20.4081,57.7,75.49,94,75,6.91
146,Hofn,IS,2022-44-04/08/22 22:44:11,64.2539,-15.2082,30.38,59,100,11.45
147,Narsaq,GL,2022-44-04/08/22 22:44:12,60.9167,-46.05,35.82,83,34,1.25
148,Khandyga,RU,2022-44-04/08/22 22:44:12,62.6667,135.6,13.01,96,95,0.58
149,Seoul,KR,2022-44-04/08/22 22:44:13,37.5683,126.9778,58.6,43,75,14.97
150,Atuona,PF,2022-42-04/08/22 22:42:02,-9.8,-139.0333,79.7,78,60,16.98
151,Port Hardy,CA,2022-44-04/08/22 22:44:13,50.6996,-127.4199,46.58,81,75,6.91
152,Sabha,LY,2022-44-04/08/22 22:44:13,27.0377,14.4283,72.55,24,28,12.86
153,Fairbanks,US,2022-40-04/08/22 22:40:02,64.8378,-147.7164,17.6,58,100,10.36
154,Nemuro,JP,2022-44-04/08/22 22:44:14,43.3236,145.575,37.96,79,99,19.66
155,Mazatlan,MX,2022-44-04/08/22 22:44:06,23.2167,-106.4167,76.91,78,31,5.99
156,Meulaboh,ID,2022-44-04/08/22 22:44:14,4.1363,96.1285,75.88,87,83,4.09
157,Tasiilaq,GL,2022-44-04/08/22 22:44:15,65.6145,-37.6368,19.56,95,100,6.91
158,Alofi,NU,2022-44-04/08/22 22:44:15,-19.0595,-169.9187,85.89,70,49,10.36
159,Scarborough,GB,2022-44-04/08/22 22:44:15,54.2797,-0.4044,37.17,82,7,4.0
160,Koumra,TD,2022-44-04/08/22 22:44:16,8.9126,17.5539,85.14,38,7,4.29
161,Tarbagatay,RU,2022-44-04/08/22 22:44:16,51.4803,107.3602,33.33,85,100,5.77
162,Jablonec,SK,2022-44-04/08/22 22:44:17,48.3333,17.45,53.06,87,100,7.83
163,Palana,RU,2022-44-04/08/22 22:44:17,59.1167,159.9667,23.58,89,100,12.57
164,Korla,CN,2022-44-04/08/22 22:44:17,41.7597,86.1469,67.82,21,99,8.59
165,Hithadhoo,MV,2022-44-04/08/22 22:44:18,-0.6,73.0833,82.99,71,64,8.86
166,Bethel,US,2022-44-04/08/22 22:44:18,41.3712,-73.414,60.76,52,39,6.76
167,Saryozek,KZ,2022-44-04/08/22 22:44:19,44.3583,77.9753,50.05,69,56,5.01
168,Narsipatnam,IN,2022-44-04/08/22 22:44:19,17.6667,82.6167,76.17,74,50,3.4
169,Atar,MR,2022-44-04/08/22 22:44:19,20.5169,-13.0499,76.69,14,0,8.39
170,Bandarbeyla,SO,2022-44-04/08/22 22:44:20,9.4942,50.8122,79.56,83,46,5.53
171,Pemangkat,ID,2022-44-04/08/22 22:44:20,1.1667,108.9667,77.07,85,94,0.96
172,Georgetown,MY,2022-44-04/08/22 22:44:21,5.4112,100.3354,78.73,93,20,3.44
173,Tuatapere,NZ,2022-44-04/08/22 22:44:21,-46.1333,167.6833,56.95,58,29,2.71
174,Nikolskoye,RU,2022-44-04/08/22 22:44:22,59.7035,30.7861,37.29,94,100,5.55
175,Khilok,RU,2022-44-04/08/22 22:44:22,51.3674,110.4676,32.54,95,100,3.56
176,Banda Aceh,ID,2022-44-04/08/22 22:44:22,5.5577,95.3222,79.36,79,82,4.74
177,Katsuura,JP,2022-44-04/08/22 22:44:23,35.1333,140.3,62.91,70,0,15.08
178,Omboue,GA,2022-44-04/08/22 22:44:23,-1.5746,9.2618,79.02,89,96,4.34
179,Cleburne,US,2022-44-04/08/22 22:44:23,32.3476,-97.3867,69.78,16,0,16.11
180,Vila Franca Do Campo,PT,2022-44-04/08/22 22:44:24,37.7167,-25.4333,63.01,89,95,28.68
181,Avarua,CK,2022-44-04/08/22 22:44:24,-21.2078,-159.775,86.05,74,20,12.66
182,Bayanday,RU,2022-44-04/08/22 22:44:25,53.0661,105.5139,32.88,84,100,9.06
183,Mareeba,AU,2022-45-04/08/22 22:45:25,-17.0,145.4333,78.44,84,22,2.51
184,Te Anau,NZ,2022-45-04/08/22 22:45:25,-45.4167,167.7167,54.16,60,13,0.13
185,Taoudenni,ML,2022-45-04/08/22 22:45:26,22.6783,-3.9836,82.09,9,0,13.18
186,Umtata,ZA,2022-45-04/08/22 22:45:26,-31.5889,28.7844,53.56,97,100,1.7
187,Bardiyah,LY,2022-45-04/08/22 22:45:26,31.7561,25.0865,58.35,77,0,7.9
188,Maneadero,MX,2022-41-04/08/22 22:41:23,31.7167,-116.5667,83.73,24,84,5.08
189,Ribeira Grande,PT,2022-45-04/08/22 22:45:27,38.5167,-28.7,59.74,82,96,29.26
190,Maceio,BR,2022-45-04/08/22 22:45:27,-9.6658,-35.7353,76.44,94,75,3.44
191,Waipawa,NZ,2022-45-04/08/22 22:45:28,-41.4122,175.5153,53.89,67,100,8.08
192,Kieta,PG,2022-45-04/08/22 22:45:28,-6.2167,155.6333,82.56,78,95,8.72
193,Hasaki,JP,2022-45-04/08/22 22:45:28,35.7333,140.8333,59.4,67,0,19.28
194,Ephrata,US,2022-45-04/08/22 22:45:29,40.1798,-76.1788,60.84,51,40,5.75
195,Touros,BR,2022-45-04/08/22 22:45:29,-5.1989,-35.4608,80.55,80,98,13.02
196,Abu Zabad,SD,2022-45-04/08/22 22:45:30,12.35,29.25,88.95,26,49,3.62
197,Severo-Kurilsk,RU,2022-45-04/08/22 22:45:30,50.6789,156.125,32.25,72,59,15.28
198,Cap Malheureux,MU,2022-45-04/08/22 22:45:30,-19.9842,57.6142,75.47,91,62,5.01
199,Bintulu,MY,2022-45-04/08/22 22:45:31,3.1667,113.0333,73.81,100,40,7.0
200,Yellowknife,CA,2022-45-04/08/22 22:45:31,62.456,-114.3525,39.42,94,100,12.66
201,Dhidhdhoo,MV,2022-45-04/08/22 22:45:31,6.8833,73.1,83.05,71,91,3.09
202,Barrow,US,2022-45-04/08/22 22:45:32,71.2906,-156.7887,6.82,72,100,19.57
203,Acapulco,MX,2022-44-04/08/22 22:44:34,16.8634,-99.8901,84.47,54,68,9.37
204,Bolshevik,BY,2022-45-04/08/22 22:45:32,54.0065,27.5692,35.22,86,99,3.38
205,Cidreira,BR,2022-45-04/08/22 22:45:33,-30.1811,-50.2056,68.88,75,98,14.05
206,Penzance,GB,2022-45-04/08/22 22:45:33,50.1186,-5.5371,39.88,64,44,19.8
207,Enid,US,2022-45-04/08/22 22:45:33,36.3956,-97.8784,62.02,21,0,24.16
208,Dukat,RU,2022-45-04/08/22 22:45:34,62.55,155.55,15.12,88,92,3.15
209,Lata,PT,2022-45-04/08/22 22:45:34,40.1629,-8.3327,56.8,99,100,3.18
210,Luderitz,NA,2022-45-04/08/22 22:45:34,-26.6481,15.1594,62.02,66,0,10.47
211,Mayo,US,2022-45-04/08/22 22:45:35,38.8876,-76.5119,61.68,62,75,18.41
212,Geraldton,AU,2022-45-04/08/22 22:45:35,-28.7667,114.6,64.81,88,100,8.05
213,Sancti Spiritus,CU,2022-45-04/08/22 22:45:35,21.9297,-79.4425,79.12,73,100,8.3
214,Grand Gaube,MU,2022-45-04/08/22 22:45:36,-20.0064,57.6608,75.6,91,59,5.01
215,Balkhash,KZ,2022-45-04/08/22 22:45:36,46.844,74.9804,43.86,70,44,13.89
216,Berbera,SO,2022-45-04/08/22 22:45:37,10.4396,45.0143,79.77,82,63,1.3
217,Caruaru,BR,2022-45-04/08/22 22:45:37,-8.2833,-35.9761,70.14,95,41,6.11
218,Mandalgovi,MN,2022-45-04/08/22 22:45:37,45.7625,106.2708,47.03,32,58,13.78
219,Sangar,RU,2022-45-04/08/22 22:45:38,63.9242,127.4739,17.29,94,69,0.36
220,Saldanha,ZA,2022-45-04/08/22 22:45:38,-33.0117,17.9442,62.65,66,0,17.65
221,Airai,TL,2022-45-04/08/22 22:45:39,-8.9266,125.4092,62.83,69,95,2.17
222,Lianzhou,CN,2022-45-04/08/22 22:45:39,24.7811,112.3825,64.04,69,0,1.9
223,Mecca,SA,2022-42-04/08/22 22:42:18,21.4267,39.8261,77.61,37,0,1.16
224,Torbay,CA,2022-43-04/08/22 22:43:16,47.6666,-52.7314,32.77,88,75,9.22
225,Koumac,NC,2022-45-04/08/22 22:45:40,-20.5667,164.2833,82.63,71,88,5.23
226,Pisco,PE,2022-44-04/08/22 22:44:50,-13.7,-76.2167,69.85,78,0,9.22
227,Okhotsk,RU,2022-44-04/08/22 22:44:46,59.3833,143.3,20.05,89,95,8.77
228,Honiara,SB,2022-45-04/08/22 22:45:40,-9.4333,159.95,85.89,66,74,7.52
229,Puerto Ayacucho,VE,2022-45-04/08/22 22:45:40,5.6639,-67.6236,84.06,67,88,5.64
230,Petropavlovsk-Kamchatskiy,RU,2022-44-04/08/22 22:44:23,53.0452,158.6483,32.59,93,100,11.18
231,Cherskiy,RU,2022-46-04/08/22 22:46:41,68.75,161.3,-9.76,81,5,3.27
232,Coquimbo,CL,2022-43-04/08/22 22:43:16,-29.9533,-71.3436,56.93,94,75,9.22
233,Kayerkan,RU,2022-46-04/08/22 22:46:42,69.3497,87.7602,-1.48,84,100,2.21
234,Margate,GB,2022-46-04/08/22 22:46:42,51.3813,1.3862,43.7,66,99,1.99
235,Owando,CG,2022-46-04/08/22 22:46:42,-0.4819,15.8999,71.29,94,100,1.74
236,Nova Odesa,UA,2022-46-04/08/22 22:46:43,47.3078,31.7851,49.28,77,73,4.0
237,Marsh Harbour,BS,2022-46-04/08/22 22:46:43,26.5412,-77.0636,73.94,63,53,15.64
238,Tuy Hoa,VN,2022-46-04/08/22 22:46:44,13.0833,109.3,70.14,90,85,6.58
239,Tezu,IN,2022-46-04/08/22 22:46:44,27.9167,96.1667,66.94,81,100,3.31
240,Road Town,VG,2022-46-04/08/22 22:46:44,18.4167,-64.6167,80.69,73,20,12.66
241,Waingapu,ID,2022-46-04/08/22 22:46:45,-9.6567,120.2641,78.42,83,66,3.09
242,Padilla,CO,2022-46-04/08/22 22:46:45,3.2204,-76.3139,80.17,94,90,1.43
243,Arrecife,ES,2022-46-04/08/22 22:46:46,28.963,-13.5477,62.58,72,20,13.8
244,Gat,IL,2022-42-04/08/22 22:42:05,31.61,34.7642,60.4,100,2,4.85
245,Gucheng,CN,2022-46-04/08/22 22:46:46,35.9115,111.3192,63.86,39,11,1.99
246,Zyryanka,RU,2022-46-04/08/22 22:46:47,65.75,150.85,-4.32,88,100,17.36
247,Bagotville,AU,2022-46-04/08/22 22:46:47,-28.9833,153.4167,75.02,81,80,10.8
248,Wolfurt,AT,2022-46-04/08/22 22:46:47,47.4667,9.75,60.58,28,20,11.5
249,Paracuru,BR,2022-42-04/08/22 22:42:29,-3.41,-39.0306,80.11,84,81,8.03
250,Mineros,BO,2022-46-04/08/22 22:46:48,-17.1167,-63.2333,80.98,70,100,5.23
251,General Salgado,BR,2022-46-04/08/22 22:46:48,-20.6483,-50.3606,73.85,82,75,2.77
252,Shasta Lake,US,2022-46-04/08/22 22:46:49,40.6804,-122.3708,85.55,14,48,1.99
253,Altay,CN,2022-46-04/08/22 22:46:49,47.8667,88.1167,36.61,81,51,4.45
254,Cosenza,IT,2022-46-04/08/22 22:46:49,39.31,16.2502,54.63,66,0,13.8
255,Estelle,US,2022-46-04/08/22 22:46:50,29.8458,-90.1067,71.01,27,0,10.36
256,Cambara,BR,2022-46-04/08/22 22:46:50,-23.0464,-50.0736,71.67,92,97,4.07
257,Anori,BR,2022-46-04/08/22 22:46:50,-3.7728,-61.6442,76.41,92,78,2.95
258,Rafai,CF,2022-46-04/08/22 22:46:51,4.95,23.9167,70.59,81,66,2.08
259,Boende,CD,2022-46-04/08/22 22:46:51,-0.2167,20.8667,66.36,93,54,3.67
260,Sisimiut,GL,2022-46-04/08/22 22:46:51,66.9395,-53.6735,12.33,94,93,7.38
261,Beringovskiy,RU,2022-44-04/08/22 22:44:58,63.05,179.3167,8.76,83,98,3.47
262,Padang,ID,2022-46-04/08/22 22:46:52,-0.9492,100.3543,76.95,82,61,3.0
263,Binabalian,PH,2022-46-04/08/22 22:46:52,16.4202,119.9279,80.6,75,22,13.56
264,Asau,RO,2022-46-04/08/22 22:46:52,46.4333,26.4,49.95,76,100,5.01
265,Sarakhs,IR,2022-46-04/08/22 22:46:53,36.5449,61.1577,59.14,63,78,2.3
266,Araguaina,BR,2022-43-04/08/22 22:43:50,-7.1911,-48.2072,74.52,91,94,4.0
267,Trairi,BR,2022-46-04/08/22 22:46:53,-3.2778,-39.2689,78.01,86,55,6.46
268,Djenne,ML,2022-46-04/08/22 22:46:54,13.9061,-4.5533,91.81,9,3,7.96
269,Kimbe,PG,2022-46-04/08/22 22:46:54,-5.5502,150.1429,75.78,97,100,5.88
270,Norman Wells,CA,2022-42-04/08/22 22:42:04,65.282,-126.8329,39.24,45,40,3.44
271,Phalaborwa,ZA,2022-46-04/08/22 22:46:54,-23.943,31.1411,65.48,84,89,12.06
272,Srivardhan,IN,2022-46-04/08/22 22:46:55,18.0333,73.0167,77.95,83,1,4.14
